journal_name,issn,eissn
MOLECULAR HUMAN REPRODUCTION,1360-9947,1460-2407
SPINE,0362-2436,1528-1159
ANNALS OF SURGICAL ONCOLOGY,1068-9265,1534-4681
REGULATORY TOXICOLOGY AND PHARMACOLOGY,0273-2300,1096-0295
Parasites & Vectors,1756-3305,1756-3305
Perspectives in Ecology and Conservation,2530-0644,2530-0644
European Journal of Ageing,1613-9372,1613-9380
LGBT Health,2325-8292,2325-8306
Journal of Insects as Food and Feed,,2352-4588
Mindfulness,1868-8527,1868-8535
JOURNAL OF MAGNETIC RESONANCE IMAGING,1053-1807,1522-2586
Schizophrenia Research,0920-9964,1573-2509
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8452,1471-2954
JOURNAL OF INVESTIGATIVE SURGERY,0894-1939,1521-0553
JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,0885-3924,1873-6513
npj Systems Biology and Applications,,2056-7189
JOURNAL OF SPORT MANAGEMENT,0888-4773,1543-270X
SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,0933-7954,1433-9285
Practical Radiation Oncology,1879-8500,1879-8500
SEMINARS IN DIAGNOSTIC PATHOLOGY,0740-2570,1930-1111
Rhizosphere,,2452-2198
CANCER IMAGING,1740-5025,1470-7330
BASIC AND APPLIED ECOLOGY,1439-1791,1618-0089
BJPsych Open,2056-4724,2056-4724
Eating Disorders,1064-0266,1532-530X
COMPLEMENTARY THERAPIES IN MEDICINE,0965-2299,1873-6963
Brain Behavior & Immunity-Health,2666-3546,2666-3546
Biology-Basel,,2079-7737
International Journal of Bipolar Disorders,2194-7511,2194-7511
PSYCHO-ONCOLOGY,1057-9249,1099-1611
JTO Clinical and Research Reports,,2666-3643
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,0002-9459,1553-6467
Translational Lung Cancer Research,2218-6751,2226-4477
Journal of Evidence Based Medicine,1756-5383,1756-5391
Phytopathology Research,2096-5362,2524-4167
Therapeutic Advances in Urology,1756-2872,1756-2880
SEMINARS IN NEPHROLOGY,0270-9295,1558-4488
Alpha Psychiatry,,2757-8038
JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,1072-7515,1879-1190
Clinical and Experimental Otorhinolaryngology,1976-8710,2005-0720
PLASTIC AND RECONSTRUCTIVE SURGERY,0032-1052,1529-4242
European Journal of Physical and Rehabilitation Medicine,1973-9087,1973-9095
IEEE-ACM Transactions on Computational Biology and Bioinformatics,1545-5963,1557-9964
JOURNAL OF ADVANCED NURSING,0309-2402,1365-2648
Journal of Prosthodontic Research,1883-1958,2212-4632
JOURNAL OF MOLECULAR DIAGNOSTICS,1525-1578,1943-7811
JOURNAL OF PERIODONTAL RESEARCH,0022-3484,1600-0765
Andrology,2047-2919,2047-2927
AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,1931-857X,1522-1466
JOURNAL OF MEDICAL ETHICS,0306-6800,1473-4257
HEALTH POLICY,0168-8510,1872-6054
JOURNAL OF SCIENCE AND MEDICINE IN SPORT,1440-2440,1878-1861
BIOLOGICAL CONTROL,1049-9644,1090-2112
Journal of Safety Science and Resilience,2096-7527,2666-4496
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,0003-0090,1937-3546
BMC Medical Research Methodology,,1471-2288
Dermatologic Therapy,1396-0296,1529-8019
Health and Quality of Life Outcomes,,1477-7525
International Journal for Parasitology-Drugs and Drug Resistance,2211-3207,2211-3207
ICES JOURNAL OF MARINE SCIENCE,1054-3139,1095-9289
Kidney Medicine,2590-0595,2590-0595
PLoS Neglected Tropical Diseases,1935-2735,1935-2735
EUROPEAN JOURNAL OF PAIN,1090-3801,1532-2149
BMC Complementary Medicine and Therapies,,2662-7671
EUROPEAN EATING DISORDERS REVIEW,1072-4133,1099-0968
Frontiers in Public Health,,2296-2565
NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,0305-1846,1365-2990
WOUND REPAIR AND REGENERATION,1067-1927,1524-475X
Frontiers in Physiology,,1664-042X
Molecular and Cellular Pediatrics,,2194-7791
JOURNAL OF PHYCOLOGY,,1529-8817
Agronomy-Basel,,2073-4395
Reproductive Health,,1742-4755
Global Ecology and Conservation,,2351-9894
Conflict and Health,1752-1505,1752-1505
CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,1055-9965,1538-7755
Drug Healthcare and Patient Safety,1179-1365,1179-1365
Indian Journal of Dermatology Venereology & Leprology,0378-6323,0973-3922
Advances in Ophthalmology Practice and Research,,2667-3762
Ticks and Tick-Borne Diseases,1877-959X,1877-9603
ACS Chemical Health & Safety,,1878-0504
JAMIA Open,,2574-2531
PHYSICS IN MEDICINE AND BIOLOGY,0031-9155,1361-6560
Public Health Research & Practice,2204-2091,2204-2091
MOLECULAR PLANT-MICROBE INTERACTIONS,0894-0282,1943-7706
PHYTOCHEMISTRY,0031-9422,1873-3700
BRITISH JOURNAL OF RADIOLOGY,0007-1285,1748-880X
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,1672-9145,1745-7270
Geobiology,1472-4677,1472-4669
Biophysics Reviews,2688-4089,2688-4089
Life-Basel,,2075-1729
PATHOLOGY INTERNATIONAL,,1440-1827
Sexual Medicine Reviews,2050-0513,2050-0521
Reproduction and Fertility,,2633-8386
Presse Medicale,0755-4982,2213-0276
Seed Biology,,2834-5495
Physical Therapy,0031-9023,1538-6724
Canadian Journal of Anesthesia-Journal canadien d anesthesie,0832-610X,1496-8975
Disability and Health Journal,1936-6574,1876-7583
Journal of Applied Physiology,8750-7587,1522-1601
JOURNAL OF HEAD TRAUMA REHABILITATION,0885-9701,1550-509X
JOURNAL OF VESTIBULAR RESEARCH-EQUILIBRIUM & ORIENTATION,0957-4271,1878-6464
DEPRESSION AND ANXIETY,1091-4269,1520-6394
Health Economics Policy and Law,1744-1331,1744-134X
Journal of Minimally Invasive Gynecology,1553-4650,1553-4669
International Journal of Mental Health Nursing,1445-8330,1447-0349
ADVANCES IN HEALTH SCIENCES EDUCATION,1382-4996,1573-1677
Implementation Science Communications,,2662-2211
Behavioral and Brain Functions,,1744-9081
RISK ANALYSIS,0272-4332,1539-6924
Journal of ISAKOS Joint Disorders & Orthopaedic Sports Medicine,2059-7754,2059-7762
PEDIATRIC DRUGS,1174-5878,1179-2019
PSYCHOLOGY OF SPORT AND EXERCISE,1469-0292,1878-5476
HUMAN BRAIN MAPPING,1065-9471,1097-0193
ANIMAL REPRODUCTION SCIENCE,0378-4320,1873-2232
JOURNAL OF NEURORADIOLOGY,0150-9861,1773-0406
Journal of Sexual Medicine,1743-6095,1743-6109
EUROPEAN JOURNAL OF RADIOLOGY,0720-048X,1872-7727
Adolescent Health Medicine and Therapeutics,1179-318X,1179-318X
Applied Health Economics and Health Policy,1175-5652,1179-1896
CORTEX,0010-9452,1973-8102
Digital Health,2055-2076,2055-2076
Reproductive Medicine and Biology,1445-5781,1447-0578
EJNMMI Radiopharmacy and Chemistry,,2365-421X
Physics & Imaging in Radiation Oncology,,2405-6316
Annals of Pediatric Endocrinology & Metabolism,2287-1012,2287-1292
Disease Models & Mechanisms,1754-8403,1754-8411
Health Care Science,2771-1749,2771-1757
Health Reports,0840-6529,1209-1367
Diagnostics,,2075-4418
Health Economics Review,2191-1991,2191-1991
BMC BIOINFORMATICS,1471-2105,1471-2105
Journal of Transport & Health,2214-1405,
Archives of Medical Science,1734-1922,1896-9151
Emerging Topics in Life Sciences,2397-8554,2397-8562
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,1079-5014,1758-5368
Dermatitis,1710-3568,2162-5220
ANGLE ORTHODONTIST,0003-3219,1945-7103
Ophthalmology Glaucoma,2589-4234,2589-4196
ARCHIVES OF DISEASE IN CHILDHOOD,0003-9888,1468-2044
GERONTOLOGIST,0016-9013,1758-5341
Journal of the World Federation of Orthodontists,2212-4438,2212-4438
ACADEMIC EMERGENCY MEDICINE,1069-6563,1553-2712
JOURNAL OF CATARACT AND REFRACTIVE SURGERY,0886-3350,1873-4502
AMERICAN JOURNAL OF NEPHROLOGY,0250-8095,1421-9670
Brazilian Journal of Physical Therapy,1413-3555,1809-9246
Journal of Periodontal and Implant Science,2093-2278,2093-2286
Journal of Addiction Medicine,1932-0620,1935-3227
INTERNATIONAL JOURNAL FOR PARASITOLOGY,0020-7519,1879-0135
International Journal of Veterinary Science and Medicine,2314-4580,2314-4599
BMJ Open Sport & Exercise Medicine,,2055-7647
Ophthalmology and Therapy,2193-8245,2193-6528
EVOLUTION AND HUMAN BEHAVIOR,1090-5138,1879-0607
Insect Conservation and Diversity,1752-458X,1752-4598
Preventive Medicine,0091-7435,1096-0260
Health Research Policy and Systems,1478-4505,1478-4505
HEALTH SERVICES RESEARCH,0017-9124,1475-6773
PSYCHIATRIC SERVICES,1075-2730,1557-9700
SKIN RESEARCH AND TECHNOLOGY,0909-752X,1600-0846
Addiction Science & Clinical Practice,1940-0640,1940-0640
Animal Cells and Systems,1976-8354,2151-2485
EYE,0950-222X,1476-5454
Clinical Epidemiology,1179-1349,1179-1349
EJNMMI Physics,2197-7364,2197-7364
JOURNAL OF RENAL NUTRITION,1051-2276,1532-8503
MEDICAL PHYSICS,0094-2405,2473-4209
Substance Abuse Treatment Prevention and Policy,,1747-597X
JOURNAL OF APPLIED SPORT PSYCHOLOGY,1041-3200,1533-1571
Qualitative Research in Sport Exercise and Health,2159-676X,2159-6778
PUBLIC HEALTH,0033-3506,1476-5616
Hematology-American Society of Hematology Education Program,1520-4391,1520-4383
HEALTH EXPECTATIONS,1369-6513,1369-7625
JOURNAL OF ANIMAL SCIENCE AND TECHNOLOGY,2672-0191,2055-0391
Archives of Public Health,0778-7367,2049-3258
Biomedical Optics Express,2156-7085,2156-7085
BMC MEDICAL IMAGING,1471-2342,1471-2342
International Journal of Health Geographics,1476-072X,1476-072X
World Journal Of Emergency Medicine,1920-8642,1920-8642
Cosmetics,,2079-9284
Frontiers in Forests and Global Change,,2624-893X
SKIN PHARMACOLOGY AND PHYSIOLOGY,1660-5527,1660-5535
Journal of Mental Health,0963-8237,1360-0567
CLIMACTERIC,1369-7137,1473-0804
SEMINARS IN PERINATOLOGY,0146-0005,1558-075X
Annals of Global Health,2214-9996,2214-9996
Magnetic Resonance in Medical Sciences,1347-3182,1880-2206
Radiation Oncology,,1748-717X
MARINE ENVIRONMENTAL RESEARCH,0141-1136,1879-0291
SEMINARS IN RADIATION ONCOLOGY,1053-4296,1532-9461
International Journal of Medical Sciences,1449-1907,1449-1907
INTERNATIONAL JOURNAL OF DERMATOLOGY,0011-9059,1365-4632
Anesthesia and Pain Medicine,1975-5171,2383-7977
QUARTERLY REVIEW OF BIOLOGY,0033-5770,1539-7718
JOURNAL OF HUMAN EVOLUTION,0047-2484,1095-8606
Insect Systematics and Diversity,,2399-3421
Porcine Health Management,,2055-5660
International Journal of Nursing Sciences,,2352-0132
Journal of Dental Sciences,1991-7902,2213-8862
Health Sociology Review,1446-1242,1839-3551
Forensic Science International-Genetics,1872-4973,1878-0326
Scandinavian Journal of Trauma Resuscitation & Emergency Medicine,1757-7241,1757-7241
OBESITY SURGERY,0960-8923,1708-0428
Italian Journal of Pediatrics,1720-8424,1824-7288
PEDIATRIC RESEARCH,0031-3998,1530-0447
BMC Oral Health,1472-6831,1472-6831
Clinical Oral Investigations,1432-6981,1436-3771
Bone & Joint Open,2633-1462,2633-1462
DENTAL TRAUMATOLOGY,1600-4469,1600-9657
GENETICS SELECTION EVOLUTION,0999-193X,1297-9686
Social Cognitive and Affective Neuroscience,1749-5016,1749-5024
IRISH VETERINARY JOURNAL,0368-0762,2046-0481
American Journal of Obstetrics & Gynecology MFM,2589-9333,2589-9333
JOURNAL OF NEUROSURGERY-SPINE,1547-5654,1547-5646
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,0001-6349,1600-0412
Food and Waterborne Parasitology,2405-6766,2405-6766
BMC Medical Ethics,1472-6939,1472-6939
Global Transitions,2589-7918,2589-7918
Neurobiology of Language,2641-4368,2641-4368
OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,1351-0711,1470-7926
Dentistry Journal,,2304-6767
PATIENT EDUCATION AND COUNSELING,0738-3991,1873-5134
INTERNATIONAL JOURNAL OF HEALTH SERVICES,0020-7314,1541-4469
SSM-Population Health,2352-8273,2352-8273
Journal of Epidemiology and Global Health,2210-6006,2210-6014
VETERINARY JOURNAL,1090-0233,1532-2971
JCPP Advances,2692-9384,2692-9384
Journal of Hospital Infection,0195-6701,1532-2939
STUDIES IN FAMILY PLANNING,0039-3665,1728-4465
HEALTH POLICY AND PLANNING,0268-1080,1460-2237
Patient-Patient Centered Outcomes Research,1178-1653,1178-1661
Annals of Cardiothoracic Surgery,2225-319X,2304-1021
CLINICAL JOURNAL OF PAIN,0749-8047,1536-5409
JOURNAL OF PUBLIC HEALTH,1741-3842,1741-3850
Frontiers in Oral Health,,2673-4842
SALUD PUBLICA DE MEXICO,0036-3634,1606-7916
Current Research in Parasitology & Vector-Borne Diseases,2667-114X,2667-114X
Kidney Diseases,2296-9381,2296-9357
EUROPEAN CELLS & MATERIALS,1473-2262,1473-2262
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,0271-3586,1097-0274
NEUROPSYCHOBIOLOGY,0302-282X,1423-0224
Molecular Informatics,1868-1743,1868-1751
COMPUTATIONAL BIOLOGY AND CHEMISTRY,1476-9271,1476-928X
BIODIVERSITY AND CONSERVATION,0960-3115,1572-9710
INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE,0266-4623,1471-6348
Scientifica,2090-908X,2090-908X
Journal of Anesthesia Analgesia and Critical Care,,2731-3786
Trends in Hearing,2331-2165,2331-2165
Neonatology,1661-7800,1661-7819
Insect Science,1672-9609,1744-7917
Nurse Educator,0363-3624,1538-9855
JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,1064-8011,1533-4287
JOURNAL OF REFRACTIVE SURGERY,1081-597X,1938-2391
DYSPHAGIA,0179-051X,1432-0460
AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,0889-5406,1097-6752
Transboundary and Emerging Diseases,1865-1674,1865-1682
npj Science of Learning,,2056-7936
MENOPAUSE-The Journal of the Menopause Society,1072-3714,1530-0374
Neurosurgical Focus,1092-0684,1092-0684
Journal of Robotic Surgery,1863-2483,1863-2491
PAIN MEDICINE,1526-2375,1526-4637
European Journal of Sport Science,1746-1391,1536-7290
Physiotherapy,0031-9406,1873-1465
Nursing Inquiry,1320-7881,1440-1800
RENAL FAILURE,0886-022X,1525-6049
EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,1010-7940,1873-734X
Journal of Vascular Surgery-Venous and Lymphatic Disorders,2213-333X,2213-333X
TRANSPLANT INTERNATIONAL,0934-0874,1432-2277
NeoBiota,1619-0033,1314-2488
STRENGTH AND CONDITIONING JOURNAL,1524-1602,1533-4295
European Journal of Health Economics,1618-7598,1618-7601
BMC Palliative Care,1472-684X,1472-684X
Kidney360,2641-7650,2641-7650
Frontiers in Insect Science,,2673-8600
SUPPORTIVE CARE IN CANCER,0941-4355,1433-7339
JOURNAL OF COGNITIVE NEUROSCIENCE,0898-929X,1530-8898
JOURNAL OF MEDICAL ECONOMICS,1369-6998,1941-837X
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,1093-3263,1873-4243
MALARIA JOURNAL,,1475-2875
NEUROPSYCHOLOGY,0894-4105,1931-1559
Global Spine Journal,2192-5682,2192-5690
Journal of Osteoporosis,2090-8059,2042-0064
JOURNAL OF APPLIED PHYCOLOGY,0921-8971,1573-5176
MOLECULAR BREEDING,1380-3743,1572-9788
BIOORGANIC & MEDICINAL CHEMISTRY,0968-0896,1464-3391
Frontiers in Medicine,,2296-858X
Frontiers in Marine Science,,2296-7745
Schizophrenia Research-Cognition,2215-0013,2215-0013
CHIRALITY,0899-0042,1520-636X
SEED SCIENCE AND TECHNOLOGY,0251-0952,1819-5717
Precision and Future Medicine,2508-7940,2508-7959
JOURNAL OF LEARNING DISABILITIES,0022-2194,1538-4780
JOURNAL OF PROFESSIONAL NURSING,8755-7223,1532-8481
LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,0161-1461,1558-9129
JOURNAL OF THERMAL BIOLOGY,0306-4565,1879-0992
Frontiers in Veterinary Science,,2297-1769
Insects,,2075-4450
JOURNAL OF NURSING SCHOLARSHIP,1527-6546,1547-5069
JOURNAL OF SHOULDER AND ELBOW SURGERY,1058-2746,1532-6500
Archives of Physiotherapy,,2057-0082
Journal of Family Nursing,1074-8407,1552-549X
DOCUMENTA OPHTHALMOLOGICA,0012-4486,1573-2622
CLINICAL REHABILITATION,0269-2155,1477-0873
Brain Structure & Function,1863-2653,1863-2661
Canadian Journal of Nursing Research,0844-5621,1705-7051
EJSO,0748-7983,1532-2157
ORAL DISEASES,1354-523X,1601-0825
CORAL REEFS,0722-4028,1432-0975
Sports,,2075-4663
Adversity and Resilience Science,2662-2424,2662-2416
BURNS,0305-4179,1879-1409
SHOCK,1073-2322,1540-0514
Annals of Rehabilitation Medicine-ARM,,2234-0653
Journal of Patient-Reported Outcomes,,2509-8020
Molecular Oral Microbiology,2041-1006,2041-1014
Phycology,,2673-9410
Journal of Clinical Medicine,,2077-0383
JOURNAL OF SEA RESEARCH,1385-1101,1873-1414
Breast Cancer,1340-6868,1880-4233
Techniques in Coloproctology,1123-6337,1128-045X
Pregnancy Hypertension-An International Journal of Womens Cardiovascular Health,2210-7789,2210-7789
Journal of Psychiatric and Mental Health Nursing,1351-0126,1365-2850
Womens Health,1745-5057,1745-5065
ULTRASCHALL IN DER MEDIZIN,0172-4614,1438-8782
Journal of Cancer Survivorship,1932-2259,1932-2267
Frontiers in Behavioral Neuroscience,1662-5153,
Endangered Species Research,1863-5407,1613-4796
Laboratory Animal Research,1738-6055,2233-7660
Frontiers in Integrative Neuroscience,1662-5145,1662-5145
STRESS-THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS,1025-3890,1607-8888
Best Practice & Research-Clinical Anaesthesiology,1521-6896,1878-1608
EAR AND HEARING,0196-0202,1538-4667
ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,0024-4082,1096-3642
JOURNAL OF HEALTH POLITICS POLICY AND LAW,0361-6878,
Academic Pediatrics,1876-2859,1876-2867
Seminars in Fetal & Neonatal Medicine,1744-165X,1878-0946
JOURNAL OF STORED PRODUCTS RESEARCH,0022-474X,1879-1212
International Breastfeeding Journal,1746-4358,1746-4358
Current Pediatrics Reports,,2167-4841
Journal of Orthopaedic Surgery and Research,1749-799X,1749-799X
BMJ Sexual & Reproductive Health,2515-1991,2515-2009
JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,1067-151X,1940-5480
CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE,0008-4182,1715-3360
Journal of Athletic Training,1062-6050,1938-162X
Journal of Tissue Viability,0965-206X,1876-4746
Asia-Pacific Journal of Oncology Nursing,2347-5625,2349-6673
BMC Sports Science Medicine and Rehabilitation,2052-1847,2052-1847
SURGICAL CLINICS OF NORTH AMERICA,0039-6109,1558-3171
AESTHETIC PLASTIC SURGERY,0364-216X,1432-5241
Archives of Osteoporosis,1862-3522,1862-3514
BIOMETRIKA,0006-3444,1464-3510
ACTA OPHTHALMOLOGICA,1755-375X,1755-3768
Journal of Hepato-Biliary-Pancreatic Sciences,1868-6974,1868-6982
Games for Health Journal,2161-783X,2161-7856
Journal of Human Kinetics,1640-5544,1899-7562
PSYCHOPHYSIOLOGY,0048-5772,1469-8986
Journal of Eye Movement Research,1995-8692,1995-8692
Journal Of Bone And Joint Infection,,2206-3552
Osteoarthritis and Cartilage Open,,2665-9131
Osteoporosis and Sarcopenia,2405-5255,2405-5263
Wearable Technologies,,2631-7176
PM&R,1934-1482,1934-1563
INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,0885-6230,1099-1166
MARINE BIOTECHNOLOGY,1436-2228,1436-2236
Minerva Anestesiologica,0375-9393,1827-1596
Maxillofacial Plastic and Reconstructive Surgery,2288-8101,2288-8586
YONSEI MEDICAL JOURNAL,0513-5796,1976-2437
Fish and Shellfish Immunology Reports,2667-0119,2667-0119
JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,1436-8730,1522-2624
POSTGRADUATE MEDICINE,0032-5481,1941-9260
ACADEMIC PSYCHIATRY,1042-9670,1545-7230
Ornithological Applications,0010-5422,2732-4621
Pediatric Obesity,2047-6302,2047-6310
SURGERY,0039-6060,
Animals,2076-2615,2076-2615
HEALTH COMMUNICATION,1041-0236,1532-7027
NURSING ETHICS,0969-7330,1477-0989
AMERICAN JOURNAL OF SURGERY,0002-9610,1879-1883
Australian Critical Care,1036-7314,1878-1721
SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES,0930-2794,1432-2218
Current Research in Insect Science,,2666-5158
Journal of Integrated Pest Management,,2155-7470
EMERGENCY MEDICINE JOURNAL,1472-0205,1472-0213
BMC Pregnancy and Childbirth,,1471-2393
International Journal of Nursing Studies Advances,2666-142X,2666-142X
BIOCONTROL,1386-6141,1573-8248
European Journal of Paediatric Dentistry,1591-996X,2035-648X
INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,0901-5027,1399-0020
SOCIOLOGY OF HEALTH & ILLNESS,0141-9889,1467-9566
EUROPEAN JOURNAL OF ORTHODONTICS,0141-5387,1460-2210
PSYCHOLOGY OF ADDICTIVE BEHAVIORS,0893-164X,1939-1501
VETERINARY MICROBIOLOGY,0378-1135,1873-2542
Fire-Switzerland,2571-6255,2571-6255
Journal of Experimental Orthopaedics,,2197-1153
JOURNAL OF ADHESIVE DENTISTRY,1461-5185,1757-9988
Transcultural Psychiatry,1363-4615,1461-7471
European Journal of Oncology Nursing,1462-3889,1532-2122
SPORT EDUCATION AND SOCIETY,1357-3322,1470-1243
BMC Womens Health,,1472-6874
PALEOBIOLOGY,0094-8373,1938-5331
Colorectal Disease,1462-8910,1463-1318
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,1058-0468,1573-7330
FRESHWATER BIOLOGY,0046-5070,1365-2427
Hormone Research in Paediatrics,1663-2818,1663-2826
JOURNAL OF VEGETATION SCIENCE,1100-9233,1654-1103
NMR IN BIOMEDICINE,0952-3480,1099-1492
JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,1044-0305,1879-1123
POSTGRADUATE MEDICAL JOURNAL,0032-5473,1469-0756
PRENATAL DIAGNOSIS,0197-3851,1097-0223
Pragmatic and Observational Research,1179-7266,1179-7266
Research in Developmental Disabilities,0891-4222,1873-3379
Journal of the American Board of Family Medicine,1557-2625,1558-7118
Frontiers in Zoology,1742-9994,1742-9994
BMC Primary Care,,2731-4553
EUROPEAN JOURNAL OF PEDIATRICS,0340-6199,1432-1076
Nursing in Critical Care,1362-1017,1478-5153
BMC EMERGENCY MEDICINE,1471-227X,1471-227X
BMC Veterinary Research,,1746-6148
Health & Justice,,2194-7899
JOURNAL OF EXPERIMENTAL BIOLOGY,0022-0949,1477-9145
Policy Politics & Nursing Practice,1527-1544,1552-7468
Wiley Interdisciplinary Reviews: Forensic Science,,2573-9468
International Journal of Womens Health,1179-1411,1179-1411
Journal of the Pediatric Infectious Diseases Society,2048-7193,2048-7207
PEDIATRIC NEPHROLOGY,0931-041X,1432-198X
Journal of Cardiovascular Nursing,0889-4655,1550-5049
Maternal and Child Nutrition,1740-8695,1740-8709
ESTUARINE COASTAL AND SHELF SCIENCE,0272-7714,1096-0015
HEART & LUNG,0147-9563,1527-3288
JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,0277-2116,1536-4801
Korean Journal of Family Medicine,2092-6715,2092-6715
SUICIDE AND LIFE-THREATENING BEHAVIOR,0363-0234,1943-278X
Tropical Medicine and Infectious Disease,,2414-6366
